PK,WorkId,Year,Week000,MonthDay,shiftArrange,punchInTime,punchOutTime,overApplyR,leaveApplyR
149,EG2,2021,W018,4月26日 (一),8:30~17:30,08:25,17:33,,
150,EG2,2021,W018,4月27日 (二),8:30~17:30,08:26,17:32,,
151,EG2,2021,W018,4月28日 (三),8:30~17:30,08:20,17:40,,
152,EG2,2021,W018,4月29日 (四),8:30~17:30,08:28,17:33,,
153,EG2,2021,W018,4月30日 (五),,08:10,17:39,,
154,EG2,2021,W018,5月1日 (六),,,,,
155,EG2,2021,W019,5月2日 (日),,,,,
156,EG2,2021,W019,5月3日 (一),8:30~17:30,08:25,17:33,,
157,EG2,2021,W019,5月4日 (二),8:30~17:30,08:26,17:32,,
158,EG2,2021,W019,5月5日 (三),8:30~17:30,08:20,17:40,,
159,EG2,2021,W019,5月6日 (四),8:30~17:30,08:28,17:33,,
160,EG2,2021,W019,5月7日 (五),8:30~17:30,08:10,17:39,,
161,EG2,2021,W019,5月8日 (六),,,,,
162,EG2,2021,W020,5月9日 (日),,,,,
163,EG2,2021,W020,5月10日 (一),8:30~17:30,08:25,17:33,,
164,EG2,2021,W020,5月11日 (二),8:30~17:30,08:26,17:32,,
165,EG2,2021,W020,5月12日 (三),8:30~17:30,08:20,17:40,,
166,EG2,2021,W020,5月13日 (四),8:30~17:30,08:28,17:33,,
167,EG2,2021,W020,5月14日 (五),8:30~17:30,08:10,17:39,,
168,EG2,2021,W020,5月15日 (六),,,,,
169,EG2,2021,W021,5月16日 (日),,08:21,17:40,,08:30~17:30
170,EG2,2021,W021,5月17日 (一),8:30~17:30,08:25,17:33,,
171,EG2,2021,W021,5月18日 (二),8:30~17:30,08:26,17:32,,
172,EG2,2021,W021,5月19日 (三),8:30~17:30,,,,08:30~17:30
173,EG2,2021,W021,5月20日 (四),8:30~17:30,08:28,21:33,17:30~21:30,
174,EG2,2021,W021,5月21日 (五),8:30~17:30,08:10,17:39,,
175,EG2,2021,W021,5月22日 (六),,,,,
176,EG2,2021,W022,5月23日 (日),,08:10,17:39,08:30~17:30,
177,EG2,2021,W022,5月24日 (一),8:30~17:30,08:25,17:33,,
178,EG2,2021,W022,5月25日 (二),8:30~17:30,08:26,,,
179,EG2,2021,W022,5月26日 (三),8:30~17:30,,,,
180,EG2,2021,W022,5月27日 (四),8:30~17:30,,,,
181,EG2,2021,W022,5月28日 (五),8:30~17:30,,,,
182,EG2,2021,W022,5月29日 (六),,,,,
183,EG3,2021,W010,2月28日 (日),,,,,
184,EG3,2021,W010,3月1日 (一),,08:25,17:33,,
185,EG3,2021,W010,3月2日 (二),8:30~17:30,08:26,17:32,,
186,EG3,2021,W010,3月3日 (三),8:30~17:30,08:20,17:40,,
187,EG3,2021,W010,3月4日 (四),8:30~17:30,08:28,17:33,,
188,EG3,2021,W010,3月5日 (五),8:30~17:30,08:10,21:33,17:30~21:30,
189,EG3,2021,W010,3月6日 (六),,,,,
190,EG3,2021,W011,3月7日 (日),,,,,
191,EG3,2021,W011,3月8日 (一),,,,,
192,EG3,2021,W011,3月9日 (二),8:30~17:30,08:25,17:33,,
193,EG3,2021,W011,3月10日 (三),8:30~17:30,08:26,17:32,,
194,EG3,2021,W011,3月11日 (四),8:30~17:30,08:20,17:40,,
195,EG3,2021,W011,3月12日 (五),8:30~17:30,08:28,17:33,,
196,EG3,2021,W011,3月13日 (六),,08:10,21:33,08:30~17:30,
197,EG3,2021,W012,3月14日 (日),,,,,
198,EG3,2021,W012,3月15日 (一),8:30~17:30,08:25,17:33,,
199,EG3,2021,W012,3月16日 (二),8:30~17:30,08:26,17:32,,
200,EG3,2021,W012,3月17日 (三),8:30~17:30,08:20,17:40,,
201,EG3,2021,W012,3月18日 (四),8:30~17:30,08:28,17:33,,
202,EG3,2021,W012,3月19日 (五),8:30~17:30,08:10,17:39,,
203,EG3,2021,W012,3月20日 (六),,,,,
204,EG3,2021,W013,3月21日 (日),,,,,
205,EG3,2021,W013,3月22日 (一),8:30~17:30,08:25,17:33,,
206,EG3,2021,W013,3月23日 (二),8:30~17:30,08:26,17:32,,
207,EG3,2021,W013,3月24日 (三),8:30~17:30,08:20,17:40,,
208,EG3,2021,W013,3月25日 (四),8:30~17:30,08:28,17:33,,
209,EG3,2021,W013,3月26日 (五),8:30~17:30,08:10,17:39,,
210,EG3,2021,W013,3月27日 (六),,,,,
211,EG3,2021,W014,3月28日 (日),,,,,
212,EG3,2021,W014,3月29日 (一),8:30~17:30,08:25,17:33,,
213,EG3,2021,W014,3月30日 (二),8:30~17:30,08:26,17:32,,
214,EG3,2021,W014,3月31日 (三),8:30~17:30,08:20,17:40,,
215,EG3,2021,W014,4月1日 (四),8:30~17:30,08:28,17:33,,
216,EG3,2021,W014,4月2日 (五),,,,,
217,EG3,2021,W014,4月3日 (六),,,,,
218,EG3,2021,W015,4月4日 (日),,,,,
219,EG3,2021,W015,4月5日 (一),,,,,
220,EG3,2021,W015,4月6日 (二),8:30~17:30,08:25,17:33,,
221,EG3,2021,W015,4月7日 (三),8:30~17:30,08:26,17:32,,
222,EG3,2021,W015,4月8日 (四),8:30~17:30,08:20,17:40,,
223,EG3,2021,W015,4月9日 (五),8:30~17:30,08:28,17:33,,
224,EG3,2021,W015,4月10日 (六),,,,,
225,EG3,2021,W016,4月11日 (日),,,,,
226,EG3,2021,W016,4月12日 (一),8:30~17:30,08:25,17:33,,
227,EG3,2021,W016,4月13日 (二),8:30~17:30,08:26,17:32,,
228,EG3,2021,W016,4月14日 (三),8:30~17:30,08:20,17:40,,
229,EG3,2021,W016,4月15日 (四),8:30~17:30,08:28,17:33,,
230,EG3,2021,W016,4月16日 (五),8:30~17:30,08:10,17:39,,
231,EG3,2021,W016,4月17日 (六),,,,,
232,EG3,2021,W017,4月18日 (日),,,,,
233,EG3,2021,W017,4月19日 (一),8:30~17:30,08:25,17:33,,
234,EG3,2021,W017,4月20日 (二),8:30~17:30,08:26,17:32,,
235,EG3,2021,W017,4月21日 (三),8:30~17:30,08:20,17:40,,
236,EG3,2021,W017,4月22日 (四),8:30~17:30,08:28,17:33,,
237,EG3,2021,W017,4月23日 (五),8:30~17:30,08:10,17:39,,
238,EG3,2021,W017,4月24日 (六),,,,,
239,EG3,2021,W018,4月25日 (日),,,,,
240,EG3,2021,W018,4月26日 (一),8:30~17:30,08:25,17:33,,
241,EG3,2021,W018,4月27日 (二),8:30~17:30,08:26,17:32,,
242,EG3,2021,W018,4月28日 (三),8:30~17:30,08:20,17:40,,
243,EG3,2021,W018,4月29日 (四),8:30~17:30,08:28,17:33,,
244,EG3,2021,W018,4月30日 (五),,08:10,17:39,,
245,EG3,2021,W018,5月1日 (六),,,,,
246,EG3,2021,W019,5月2日 (日),,,,,
247,EG3,2021,W019,5月3日 (一),8:30~17:30,08:25,17:33,,
248,EG3,2021,W019,5月4日 (二),8:30~17:30,08:26,17:32,,
249,EG3,2021,W019,5月5日 (三),8:30~17:30,08:20,17:40,,
250,EG3,2021,W019,5月6日 (四),8:30~17:30,08:28,17:33,,
251,EG3,2021,W019,5月7日 (五),8:30~17:30,08:10,17:39,,
252,EG3,2021,W019,5月8日 (六),,,,,
253,EG3,2021,W020,5月9日 (日),,,,,
254,EG3,2021,W020,5月10日 (一),8:30~17:30,08:25,17:33,,
255,EG3,2021,W020,5月11日 (二),8:30~17:30,08:26,17:32,,
256,EG3,2021,W020,5月12日 (三),8:30~17:30,08:20,17:40,,
257,EG3,2021,W020,5月13日 (四),8:30~17:30,08:28,17:33,,
258,EG3,2021,W020,5月14日 (五),8:30~17:30,08:10,17:39,,
259,EG3,2021,W020,5月15日 (六),,,,,
260,EG3,2021,W021,5月16日 (日),,08:21,17:40,,08:30~17:30
261,EG3,2021,W021,5月17日 (一),8:30~17:30,08:25,17:33,,
262,EG3,2021,W021,5月18日 (二),8:30~17:30,08:26,17:32,,
263,EG3,2021,W021,5月19日 (三),8:30~17:30,,,,08:30~17:30
264,EG3,2021,W021,5月20日 (四),8:30~17:30,08:28,21:33,17:30~21:30,
265,EG3,2021,W021,5月21日 (五),8:30~17:30,08:10,17:39,,
266,EG3,2021,W021,5月22日 (六),,,,,
267,EG3,2021,W022,5月23日 (日),,08:10,17:39,08:30~17:30,
268,EG3,2021,W022,5月24日 (一),8:30~17:30,08:25,17:33,,
269,EG3,2021,W022,5月25日 (二),8:30~17:30,08:26,,,
270,EG3,2021,W022,5月26日 (三),8:30~17:30,,,,
271,EG3,2021,W022,5月27日 (四),8:30~17:30,,,,
272,EG3,2021,W022,5月28日 (五),8:30~17:30,,,,
273,EG3,2021,W022,5月29日 (六),,,,,
274,EG4,2021,W010,2月28日 (日),,,,,
275,EG4,2021,W010,3月1日 (一),,08:25,17:33,,
276,EG4,2021,W010,3月2日 (二),8:30~17:30,08:26,17:32,,
277,EG4,2021,W010,3月3日 (三),8:30~17:30,08:20,17:40,,
278,EG4,2021,W010,3月4日 (四),8:30~17:30,08:28,17:33,,
279,EG4,2021,W010,3月5日 (五),8:30~17:30,08:10,21:33,17:30~21:30,
280,EG4,2021,W010,3月6日 (六),,,,,
281,EG4,2021,W011,3月7日 (日),,,,,
282,EG4,2021,W011,3月8日 (一),,,,,
283,EG4,2021,W011,3月9日 (二),8:30~17:30,08:25,17:33,,
284,EG4,2021,W011,3月10日 (三),8:30~17:30,08:26,17:32,,
285,EG4,2021,W011,3月11日 (四),8:30~17:30,08:20,17:40,,
286,EG4,2021,W011,3月12日 (五),8:30~17:30,08:28,17:33,,
287,EG4,2021,W011,3月13日 (六),,08:10,21:33,08:30~17:30,
288,EG4,2021,W012,3月14日 (日),,,,,
289,EG4,2021,W012,3月15日 (一),8:30~17:30,08:25,17:33,,
290,EG4,2021,W012,3月16日 (二),8:30~17:30,08:26,17:32,,
291,EG4,2021,W012,3月17日 (三),8:30~17:30,08:20,17:40,,
292,EG4,2021,W012,3月18日 (四),8:30~17:30,08:28,17:33,,
293,EG4,2021,W012,3月19日 (五),8:30~17:30,08:10,17:39,,
294,EG4,2021,W012,3月20日 (六),,,,,
295,EG4,2021,W013,3月21日 (日),,,,,
296,EG4,2021,W013,3月22日 (一),8:30~17:30,08:25,17:33,,
297,EG4,2021,W013,3月23日 (二),8:30~17:30,08:26,17:32,,
298,EG4,2021,W013,3月24日 (三),8:30~17:30,08:20,17:40,,
299,EG4,2021,W013,3月25日 (四),8:30~17:30,08:28,17:33,,
300,EG4,2021,W013,3月26日 (五),8:30~17:30,08:10,17:39,,
301,EG4,2021,W013,3月27日 (六),,,,,
302,EG4,2021,W014,3月28日 (日),,,,,
303,EG4,2021,W014,3月29日 (一),8:30~17:30,08:25,17:33,,
304,EG4,2021,W014,3月30日 (二),8:30~17:30,08:26,17:32,,
305,EG4,2021,W014,3月31日 (三),8:30~17:30,08:20,17:40,,
306,EG4,2021,W014,4月1日 (四),8:30~17:30,08:28,17:33,,
307,EG4,2021,W014,4月2日 (五),,,,,
308,EG4,2021,W014,4月3日 (六),,,,,
309,EG4,2021,W015,4月4日 (日),,,,,
310,EG4,2021,W015,4月5日 (一),,,,,
311,EG4,2021,W015,4月6日 (二),8:30~17:30,08:25,17:33,,
312,EG4,2021,W015,4月7日 (三),8:30~17:30,08:26,17:32,,
313,EG4,2021,W015,4月8日 (四),8:30~17:30,08:20,17:40,,
314,EG4,2021,W015,4月9日 (五),8:30~17:30,08:28,17:33,,
315,EG4,2021,W015,4月10日 (六),,,,,
316,EG4,2021,W016,4月11日 (日),,,,,
317,EG4,2021,W016,4月12日 (一),8:30~17:30,08:25,17:33,,
318,EG4,2021,W016,4月13日 (二),8:30~17:30,08:26,17:32,,
319,EG4,2021,W016,4月14日 (三),8:30~17:30,08:20,17:40,,
320,EG4,2021,W016,4月15日 (四),8:30~17:30,08:28,17:33,,
321,EG4,2021,W016,4月16日 (五),8:30~17:30,08:10,17:39,,
322,EG4,2021,W016,4月17日 (六),,,,,
323,EG4,2021,W017,4月18日 (日),,,,,
324,EG4,2021,W017,4月19日 (一),8:30~17:30,08:25,17:33,,
325,EG4,2021,W017,4月20日 (二),8:30~17:30,08:26,17:32,,
326,EG4,2021,W017,4月21日 (三),8:30~17:30,08:20,17:40,,
327,EG4,2021,W017,4月22日 (四),8:30~17:30,08:28,17:33,,
328,EG4,2021,W017,4月23日 (五),8:30~17:30,08:10,17:39,,
329,EG4,2021,W017,4月24日 (六),,,,,
330,EG4,2021,W018,4月25日 (日),,,,,
331,EG4,2021,W018,4月26日 (一),8:30~17:30,08:25,17:33,,
332,EG4,2021,W018,4月27日 (二),8:30~17:30,08:26,17:32,,
333,EG4,2021,W018,4月28日 (三),8:30~17:30,08:20,17:40,,
334,EG4,2021,W018,4月29日 (四),8:30~17:30,08:28,17:33,,
335,EG4,2021,W018,4月30日 (五),,08:10,17:39,,
336,EG4,2021,W018,5月1日 (六),,,,,
337,EG4,2021,W019,5月2日 (日),,,,,
338,EG4,2021,W019,5月3日 (一),8:30~17:30,08:25,17:33,,
339,EG4,2021,W019,5月4日 (二),8:30~17:30,08:26,17:32,,
340,EG4,2021,W019,5月5日 (三),8:30~17:30,08:20,17:40,,
341,EG4,2021,W019,5月6日 (四),8:30~17:30,08:28,17:33,,
342,EG4,2021,W019,5月7日 (五),8:30~17:30,08:10,17:39,,
343,EG4,2021,W019,5月8日 (六),,,,,
344,EG4,2021,W020,5月9日 (日),,,,,
345,EG4,2021,W020,5月10日 (一),8:30~17:30,08:25,17:33,,
346,EG4,2021,W020,5月11日 (二),8:30~17:30,08:26,17:32,,
347,EG4,2021,W020,5月12日 (三),8:30~17:30,08:20,17:40,,
348,EG4,2021,W020,5月13日 (四),8:30~17:30,08:28,17:33,,
349,EG4,2021,W020,5月14日 (五),8:30~17:30,08:10,17:39,,
350,EG4,2021,W020,5月15日 (六),,,,,
351,EG4,2021,W021,5月16日 (日),,08:21,17:40,,08:30~17:30
352,EG4,2021,W021,5月17日 (一),8:30~17:30,08:25,17:33,,
353,EG4,2021,W021,5月18日 (二),8:30~17:30,08:26,17:32,,
354,EG4,2021,W021,5月19日 (三),8:30~17:30,,,,08:30~17:30
355,EG4,2021,W021,5月20日 (四),8:30~17:30,08:28,21:33,17:30~21:30,
356,EG4,2021,W021,5月21日 (五),8:30~17:30,08:10,17:39,,
357,EG4,2021,W021,5月22日 (六),,,,,
358,EG4,2021,W022,5月23日 (日),,08:10,17:39,08:30~17:30,
359,EG4,2021,W022,5月24日 (一),8:30~17:30,08:25,17:33,,
360,EG4,2021,W022,5月25日 (二),8:30~17:30,08:26,,,
361,EG4,2021,W022,5月26日 (三),8:30~17:30,,,,
362,EG4,2021,W022,5月27日 (四),8:30~17:30,,,,
363,EG4,2021,W022,5月28日 (五),8:30~17:30,,,,
364,EG4,2021,W022,5月29日 (六),,,,,
